Characteristic,Description
System under study,"Describes the SUS, i.e., the PT, of the system of interest."
Physical acting components,"Describes the available acting components in the DT constellation, i.e., the mechanisms the DT can use to act on the PT."
Physical sensing components,"Describes the available sensing components in the DT constellation, i.e., the mechanisms the PT can use to transfer data to the DT."
Physical-to-virtual interaction,"Describes the interactions from the physical world to the virtual world, i.e., the data transmitted from PT to DT, including inputs and events that the DT processes."
Virtual-to-physical interaction,"Describes the interactions from the virtual world to the physical world, i.e., the data transmitted from DT to PT, including outputs the DT generates as part of its services."
DT services,"Describes the services, such as optimization, task planning, and visualization, which the DT provides to the users and the physical system."
Twinning time-scale,"Describes the time-scale use and the time rates for the DT services and DT-to-PT synchronization."
Multiplicities,"Describes the multiplicities, i.e., the internal twins that compose the DT system, which can be implemented in a centralized or decentralized way."
Life-cycle stages,"Describes the lifecycle phases in which the DT takes place. It also informs which representation phase the DT covers of its physical counterpart, i.e., as designed (ideal), as manufactured, or as operated."
DT models and data,"Describes the DT components, including available models and data, and their role in the DT constellation"
Tooling and enablers,"Describes the tools or enablers that are used to achieve the goals of the DT, i.e., they enable the DT to provide the DT services."
DT constellation,"Describes the orchestration of the DT system, components, and services as a whole."
Twinning process and DT evolution,"Describes the engineering process involved in the DT implementation, including the development process, quality assurance, and definition of requirements. It also informs on the milestones of the DT engineering process over time and intended upgrades."
Fidelity and validity considerations,"Describes the fidelity and validity considerations behind the models that constitute the DT, including verification and validation mechanisms, uncertainty, and errors."
DT technical connection,"Describes the technical network connection details between PT and DT, including the network protocols and architectures."
DT hosting/deployment,"Describes the technical hosting aspects of the DT and the associated technology."
Insights and decision making,"Defines the insights and decision making, i.e., indirect outputs of the DT, which have no direct effect on the PT, such as update of parameters, plans, and so on."
Horizontal integration,"Describes the information exchange with external information systems not limited to other DTs."
Data ownership and privacy,"Refers to the ethical and technical aspects regarding data ownership and data privacy. Is the data owned by the PT owner or by the DT service provider?"
Standardization,"Refers to the standards being followed for the engineering of the DT and its components."
Security and safety considerations,"Refers to the ethical and technical aspects regarding data cybersecurity and safety on operation. Can a DT execute operations remotely on a PT where there may be accidents with humans?"
