experiment_id,timestamp,characteristics_experiment_id,oml_valid,oml_line_count,oml_instance_count,oml_repetition_count,oml_max_retries,generation_time_seconds,error_count,warning_count
86d4af6c7a24_20251020161836_oml,2025-10-27T13:28:19.464810,86d4af6c7a24_20251020161836,True,198,43,0,4,64.5071394443512,0,0
86d4af6c7a24_20251020161836_oml,2025-10-27T13:34:51.822634,86d4af6c7a24_20251020161836,True,113,25,3,4,288.68743991851807,0,0
c90c1598a81d_20251020192211_oml,2025-10-27T14:09:29.316452,c90c1598a81d_20251020192211,True,140,30,1,4,180.1617648601532,0,0
c90c1598a81d_20251020192211_oml,2025-10-27T14:22:52.223016,c90c1598a81d_20251020192211,True,197,42,2,4,261.22463488578796,0,0
c90c1598a81d_20251020192211_oml,2025-10-27T14:36:58.682837,c90c1598a81d_20251020192211,True,35,9,3,4,476.50231289863586,0,0
c90c1598a81d_20251020192211_oml,2025-10-27T14:44:29.246565,c90c1598a81d_20251020192211,True,35,9,2,4,389.4423270225525,0,0
c90c1598a81d_20251020192211_oml,2025-10-27T15:39:01.471572,c90c1598a81d_20251020192211,True,220,47,0,4,67.19975209236145,0,0
c90c1598a81d_20251020192211_oml,2025-10-27T15:56:40.894798,c90c1598a81d_20251020192211,False,207,45,3,4,396.3925213813782,0,0
c90c1598a81d_20251020192211_oml,2025-10-27T16:47:54.913949,c90c1598a81d_20251020192211,True,35,9,1,4,282.7798385620117,0,0
0b9a397f2a72_20251028155154_oml,2025-10-28T12:34:04.707373,0b9a397f2a72_20251028155154,True,59,14,2,4,166.14169454574585,0,0
0b9a397f2a72_20251028155154_oml,2025-10-28T12:36:50.786939,0b9a397f2a72_20251028155154,True,183,45,1,4,163.73169994354248,0,0
0b9a397f2a72_20251028155154_oml,2025-10-28T12:39:06.179751,0b9a397f2a72_20251028155154,True,181,39,1,4,133.06901144981384,0,0
0b9a397f2a72_20251028155154_oml,2025-10-28T12:47:45.380147,0b9a397f2a72_20251028155154,True,155,34,4,4,516.4412710666656,0,0
0b9a397f2a72_20251028155154_oml,2025-10-28T12:51:13.667795,0b9a397f2a72_20251028155154,True,70,16,2,4,205.460533618927,0,0
0b9a397f2a72_20251028155154_oml,2025-10-28T13:15:30.389390,0b9a397f2a72_20251028155154,True,134,28,3,4,478.5552604198456,0,0
0b9a397f2a72_20251028155154_oml,2025-10-28T13:19:57.937132,0b9a397f2a72_20251028155154,True,188,39,2,4,264.372239112854,0,0
0b9a397f2a72_20251028155154_oml,2025-10-28T13:31:47.616413,0b9a397f2a72_20251028155154,False,196,42,2,4,707.2715857028961,0,0
0b9a397f2a72_20251028155154_oml,2025-10-28T13:34:15.889200,0b9a397f2a72_20251028155154,True,185,39,1,4,142.73579621315002,0,0
0b9a397f2a72_20251028155154_oml,2025-10-28T13:36:37.462667,0b9a397f2a72_20251028155154,True,185,39,1,4,139.0689492225647,0,0
0b9a397f2a72_20251028155154_oml,2025-10-29T10:44:12.012502,0b9a397f2a72_20251028155154,True,140,30,2,4,292.5530035495758,0,0
0b9a397f2a72_20251028155154_oml,2025-10-29T10:46:48.378880,0b9a397f2a72_20251028155154,True,217,48,1,4,153.88661789894104,0,0
0b9a397f2a72_20251028155154_oml,2025-10-29T10:49:25.407484,0b9a397f2a72_20251028155154,True,202,44,1,4,154.65870428085327,0,0
0b9a397f2a72_20251028155154_oml,2025-10-29T10:55:24.288218,0b9a397f2a72_20251028155154,True,35,9,2,4,356.11042881011963,0,0
0b9a397f2a72_20251028155154_oml,2025-10-29T11:00:41.177483,0b9a397f2a72_20251028155154,False,140,31,4,4,313.5227665901184,0,0
450e43464ad6_20251030020417_oml,2025-10-29T22:11:40.467795,450e43464ad6_20251030020417,True,170,35,0,3,100.28444576263428,0,0
49e80d3654c1_20251104172403_oml,2025-11-04T12:34:23.680119,49e80d3654c1_20251104172403,True,178,38,2,5,247.62921524047852,0,0
d86b354cfd93_20251104173428_oml,2025-11-04T12:42:52.113748,d86b354cfd93_20251104173428,True,169,37,1,5,145.48497438430786,0,0
4d8aff246b90_20251104174646_oml,2025-11-04T12:57:30.430936,4d8aff246b90_20251104174646,True,49,12,3,5,322.2384412288666,0,0
4d8aff246b90_20251104204641_oml,2025-11-04T16:03:45.701794,4d8aff246b90_20251104204641,True,177,39,3,5,410.8535680770874,0,0
27ce190543cc_20251104212716_oml,2025-11-04T16:36:24.336189,27ce190543cc_20251104212716,True,213,45,1,5,105.98672103881836,0,0
